,,,,,
Subject,Subject Desc,Course Number,Title,Academic Period Desc,CRN
,,36100,The Structure Of ASL I,Fall 2024,25490
ASM,ASM-Agricultural Systems Mgmt,10400,Intro To Agri Systems,Fall 2024,11119
,,20100,Construct And Maintenc,Fall 2024,11122
,,21100,Technical Graphic Comm,Fall 2024,11125
,,22100,Career Opportunits Sem,Fall 2024,11128
,,22200,Crop Prod Equip,Fall 2024,11129
,,23600,Environmental Sys Mgmt,Fall 2024,22101
,,42100,Senior Seminar,Fall 2024,11143
,,49400,Project Planning & Management,Fall 2024,20642
,,53200,Intro To Ag Informatics,Fall 2024,32555
,,54000,Geographic Info System Appl,Fall 2024,32553
ASTR,ASTR-Astronomy,26300,Dscr Astr-Solar System,Fall 2024,38588
,,,Dscr Astr-Solar System-Honors,Fall 2024,38588
,,36300,The Solar System,Fall 2024,11175
,,37000,Cosmology,Fall 2024,11176
,,56700,Observational Astronomy,Fall 2024,10689
AT,AT-Aviation Technology,10000,Intro Aviation Tech,Fall 2024,67645
,,10200,Aviation Business,Fall 2024,68633
,,10300,Aero Veh Prop & Track Sys,Fall 2024,56811
,,10600,Basic Aircraft Science,Fall 2024,19480
,,,Basic Aircraft Science-Honors,Fall 2024,19480
,,10901,Intro Uncrewed Aircrft Sys Ops,Fall 2024,16452
,,11200,Intro Operational Aviat Safety,Fall 2024,30715
,,11600,Aircraft Science For Eng Tech,Fall 2024,30866
,,12700,Publications Records And Regs,Fall 2024,30710
,,14400,Private Pilot Lectures,Fall 2024,67659
,,,,,26074
,,,Private Pilot Lectures-Honors,Fall 2024,67659
,,20200,Aero Veh Sys Dsgn Analy & Ops,Fall 2024,64981
,,20300,Aviation Operations Management,Fall 2024,57190
,,,,,13727
,,20501,Statics For Aerostructures,Fall 2024,67393
,,20700,Intro Aircraft Systems,Fall 2024,25251
,,20802,Aircraft Materials,Fall 2024,14701
,,20900,Auton Aircraft Tech & Maint I,Fall 2024,13852
,,22300,Human Factors Flight Crew,Fall 2024,57194
,,24900,Instrumt Flt Lectures,Fall 2024,11558
,,,Instrumt Flt Lectures-Honors,Fall 2024,11558
